Time,Sample,Phase
834, 0.692619, 0.378682
835, 0.690561, 0.379135
836, 0.688497, 0.379589
837, 0.686427, 0.380042
838, 0.684353, 0.380496
839, 0.682272, 0.380949
840, 0.680186, 0.381403
841, 0.678095, 0.381856
842, 0.675998, 0.38231
843, 0.673895, 0.382763
844, 0.671787, 0.383217
845, 0.669674, 0.38367
846, 0.667555, 0.384124
847, 0.665431, 0.384577
848, 0.663301, 0.385031
849, 0.661166, 0.385484
850, 0.659025, 0.385938
851, 0.65688, 0.386391
852, 0.654728, 0.386845
853, 0.652572, 0.387298
854, 0.65041, 0.387752
855, 0.648243, 0.388205
856, 0.646071, 0.388659
857, 0.643893, 0.389113
858, 0.641711, 0.389566
859, 0.639523, 0.39002
860, 0.63733, 0.390473
861, 0.635131, 0.390927
862, 0.632928, 0.39138
863, 0.630719, 0.391834
864, 0.628505, 0.392287
865, 0.626287, 0.392741
866, 0.624063, 0.393194
867, 0.621834, 0.393648
868, 0.619599, 0.394101
869, 0.61736, 0.394555
870, 0.615116, 0.395008
871, 0.612867, 0.395462
872, 0.610613, 0.395915
873, 0.608354, 0.396369
874, 0.60609, 0.396822
875, 0.603821, 0.397276
876, 0.601547, 0.397729
877, 0.599269, 0.398183
878, 0.596985, 0.398636
879, 0.594697, 0.39909
880, 0.592404, 0.399543
881, 0.590106, 0.399997
882, 0.587803, 0.40045
883, 0.585495, 0.400904
884, 0.583183, 0.401357
885, 0.580866, 0.401811
886, 0.578544, 0.402264
887, 0.576217, 0.402718
888, 0.573886, 0.403171
889, 0.57155, 0.403625
890, 0.56921, 0.404078
891, 0.566865, 0.404532
892, 0.564515, 0.404985
893, 0.562161, 0.405439
894, 0.559802, 0.405892
895, 0.557439, 0.406346
896, 0.555071, 0.406799
897, 0.552698, 0.407253
898, 0.550321, 0.407706
899, 0.54794, 0.40816
900, 0.545554, 0.408613
901, 0.543164, 0.409067
902, 0.540769, 0.40952
903, 0.53837, 0.409974
904, 0.535967, 0.410427
905, 0.533559, 0.410881
906, 0.531147, 0.411334
907, 0.528731, 0.411788
908, 0.52631, 0.412241
909, 0.523885, 0.412695
910, 0.521456, 0.413148
911, 0.519022, 0.413602
912, 0.516584, 0.414055
913, 0.514143, 0.414509
914, 0.511697, 0.414962
915, 0.509246, 0.415416
916, 0.506792, 0.415869
917, 0.504333, 0.416323
918, 0.501871, 0.416776
919, 0.499404, 0.41723
920, 0.496934, 0.417683
921, 0.494459, 0.418137
922, 0.49198, 0.41859
923, 0.489497, 0.419044
924, 0.487011, 0.419497
925, 0.48452, 0.419951
926, 0.482025, 0.420404
927, 0.479527, 0.420858
928, 0.477025, 0.421311
929, 0.474518, 0.421765
930, 0.472008, 0.422218
931, 0.469494, 0.422672
932, 0.466976, 0.423125
933, 0.464455, 0.423579
934, 0.46193, 0.424032
935, 0.4594, 0.424486
936, 0.456868, 0.424939
